display_first_last,team_name,jersey,position,height,weight,rosterstatus,from_year,to_year
Alaa Abdelnaby,Trail Blazers,30,Forward,6-10,240,Inactive,1990,1994
Kareem Abdul-Jabbar,Lakers,33,Center,7-2,225,Inactive,1969,1988
Tariq Abdul-Wahad,Kings,9,Forward-Guard,6-6,235,Inactive,1997,2003
Shareef Abdur-Rahim,Grizzlies,3,Forward,6-9,245,Inactive,1996,2007
Tom Abernethy,Warriors,5,Forward,6-7,220,Inactive,1976,1980
Forest Able,Nationals,6,Guard,6-3,180,Inactive,1956,1956
John Abramovic,Ironmen,,Forward,6-3,195,Inactive,1946,1947
Alex Abrines,,,Guard,6-6,200,Inactive,2016,2018
Precious Achiuwa,Raptors,5,Forward,6-8,225,Active,2020,2023
Alex Acker,Clippers,3,Guard,6-5,185,Inactive,2005,2008
Donald Ackerman,Knicks,,Guard,6-0,183,Inactive,1953,1953
Mark Acres,Magic,42,Center,6-11,220,Inactive,1987,1992
Charles Acton,Rockets,24,Forward,6-6,210,Inactive,1967,1967
Quincy Acy,,,Forward,6-7,240,Inactive,2012,2018
Alvan Adams,Suns,33,Center,6-9,210,Inactive,1975,1987
Don Adams,Pistons,10,Forward,6-7,210,Inactive,1970,1976
Hassan Adams,,,Forward,6-4,220,Inactive,2006,2008
Jaylen Adams,,,Guard,6-0,225,Inactive,2018,2020
Jordan Adams,Grizzlies,3,Guard,6-5,209,Inactive,2014,2015
Michael Adams,Nuggets,23,Guard,5-10,165,Inactive,1985,1995
Steven Adams,Grizzlies,4,Center,6-11,265,Active,2013,2023
Rafael Addison,Nets,7,Forward,6-8,241,Inactive,1986,1996
Bam Adebayo,Heat,13,Center-Forward,6-9,255,Active,2017,2023
Deng Adel,Cavaliers,32,Forward,6-7,200,Inactive,2018,2018
Rick Adelman,Trail Blazers,5,Guard,6-2,175,Inactive,1968,1974
Jeff Adrien,,,,,,Inactive,2010,2014
Arron Afflalo,Nuggets,4,Guard,6-5,210,Inactive,2007,2017
Ochai Agbaji,Jazz,30,Guard,6-5,215,Active,2022,2023
Maurice Ager,,,Forward-Guard,6-5,202,Inactive,2006,2010
Mark Aguirre,Mavericks,7,Forward,6-6,232,Inactive,1981,1993
Blake Ahearn,Heat,2,Guard,6-2,190,Inactive,2007,2011
Alexis Ajinca,Pelicans,42,Center,7-2,248,Inactive,2008,2017
Henry Akin,Knicks,10,Center,6-10,225,Inactive,1966,1967
Josh Akognon,Mavericks,10,Guard,5-11,185,Inactive,2012,2012
DeVaughn Akoon-Purcell,,,Guard-Forward,6-6,200,Inactive,2018,2018
Solomon Alabi,Raptors,50,Center,7-1,252,Inactive,2010,2011
Mark Alarie,Bullets,31,Forward,6-8,217,Inactive,1986,1990
Gary Alcorn,Pistons,24,Center,6-9,225,Inactive,1959,1960
Santi Aldama,Grizzlies,7,Forward-Center,7-0,215,Active,2021,2023
Furkan Aldemir,76ers,19,Forward-Center,6-10,240,Inactive,2014,2014
Cole Aldrich,Knicks,45,Center,6-11,253,Inactive,2010,2017
LaMarcus Aldridge,Nets,21,Center-Forward,6-11,250,Inactive,2006,2021
Cliff Alexander,Trail Blazers,34,Forward,6-8,240,Inactive,2015,2015
Cory Alexander,Spurs,12,Guard,6-1,190,Inactive,1995,2004
Joe Alexander,Bucks,20,Forward,6-8,230,Inactive,2008,2009
Kyle Alexander,Heat,17,Forward-Center,6-10,216,Inactive,2019,2019
Ty-Shon Alexander,Suns,0,Guard,6-3,195,Inactive,2020,2020
Victor Alexander,Warriors,9,Forward,6-10,265,Inactive,1991,2001
Nickeil Alexander-Walker,Timberwolves,9,Guard,6-5,205,Active,2019,2023
Steve Alford,Mavericks,4,Guard,6-2,183,Inactive,1987,1990
Rawle Alkins,Bulls,20,Guard,6-5,225,Inactive,2018,2018
Bob Allen,Warriors,50,Forward,6-9,205,Inactive,1968,1968
Grayson Allen,Bucks,12,Guard,6-4,198,Active,2018,2023
Jarrett Allen,Cavaliers,31,Center,6-9,243,Active,2017,2023
Kadeem Allen,,,Guard,6-1,200,Inactive,2017,2019
Lavoy Allen,Pacers,5,Forward-Center,6-9,260,Inactive,2011,2016
Lucius Allen,Bucks,42,Guard,6-2,175,Inactive,1969,1978
Malik Allen,Heat,35,Forward,6-10,255,Inactive,2001,2010
Tony Allen,,,Guard-Forward,6-4,213,Inactive,2004,2017
Odis Allison,Warriors,22,Forward,6-6,195,Inactive,1971,1971
Lance Allred,Cavaliers,41,Center,6-11,250,Inactive,2007,2007
Darrell Allums,Mavericks,32,Forward,6-8,220,Inactive,1980,1980
Morris Almond,Jazz,21,Guard,6-6,225,Inactive,2007,2011
Derrick Alston,,,Center,6-11,225,Inactive,1994,1996
Rafer Alston,Rockets,11,Guard,6-2,175,Inactive,1999,2009
Peter Aluma,,,Center,6-10,260,Inactive,1998,1998
Jose Alvarado,Pelicans,15,Guard,6-0,179,Active,2021,2023
John Amaechi,Magic,13,Forward-Center,6-10,270,Inactive,1995,2002
Lou Amundson,Suns,17,Forward,6-9,220,Inactive,2006,2015
Chris Andersen,,,Forward-Center,6-10,245,Inactive,2001,2016
David Andersen,,,,,,Inactive,2009,2017
Alan Anderson,Nets,9,Forward-Guard,6-6,220,Inactive,2005,2016
Antonio Anderson,,,Guard,6-6,215,Inactive,2009,2009
Daniel Anderson,Trail Blazers,33,Guard,6-2,185,Inactive,1974,1975
Derek Anderson,Trail Blazers,1,Guard,6-5,195,Inactive,1997,2007
Dwight Anderson,Nuggets,20,Guard,6-3,185,Inactive,1982,1982
Eric Anderson,Knicks,42,Forward,6-9,220,Inactive,1992,1993
Greg Anderson,Spurs,0,Center-Forward,6-10,250,Inactive,1987,1997
James Anderson,Spurs,5,Guard-Forward,6-6,213,Inactive,2010,2015
Jerome Anderson,Pacers,21-23,Guard,6-5,195,Inactive,1975,1976
Justin Anderson,,,Forward-Guard,6-5,231,Inactive,2015,2021
Kenny Anderson,,,Guard,6-1,168,Inactive,1991,2004
Kim Anderson,Trail Blazers,42,Forward,6-7,200,Inactive,1978,1978
Kyle Anderson,Timberwolves,5,Forward-Guard,6-9,230,Active,2014,2023
Michael Anderson,Spurs,10,Guard,5-11,184,Inactive,1988,1988
Mitchell Anderson,Jazz,11,Forward,6-8,195,Inactive,1982,1984
Nick Anderson,Magic,5,Forward-Guard,6-6,228,Inactive,1989,2002
Richard Anderson,Trail Blazers,35,Forward,6-10,240,Inactive,1982,1989
Ron Anderson,76ers,35,Forward,6-7,215,Inactive,1984,1993
Ryan Anderson,,,Forward,6-9,240,Inactive,2008,2019
Shandon Anderson,Knicks,49,Guard-Forward,6-6,215,Inactive,1996,2005
Willie Anderson,Spurs,35,Guard-Forward,6-8,200,Inactive,1988,1996
Martynas Andriuskevicius,Cavaliers,15,Center,7-2,240,Inactive,2005,2006
Don Anielak,Knicks,12,Forward,6-7,190,Inactive,1954,1954
Ike Anigbogu,,,Center,6-10,250,Inactive,2017,2018
Michael Ansley,Magic,54,Forward,6-7,225,Inactive,1989,1991
Chris Anstey,Mavericks,22,Center,7-0,249,Inactive,1997,1999
Giannis Antetokounmpo,Bucks,34,Forward,7-0,243,Active,2013,2023
Kostas Antetokounmpo,Lakers,37,Forward,6-10,200,Inactive,2018,2020
Thanasis Antetokounmpo,Bucks,43,Forward,6-7,219,Active,2015,2023
Carmelo Anthony,Lakers,7,Forward,6-7,238,Inactive,2003,2021
Cole Anthony,Magic,50,Guard,6-3,185,Active,2020,2023
Greg Anthony,Knicks,50,Guard,6-1,180,Inactive,1991,2001
Joel Anthony,Heat,30,Center,6-9,245,Inactive,2007,2016
Pero Antic,Hawks,6,Forward-Center,6-11,260,Inactive,2013,2014
O.G. Anunoby,Raptors,3,Forward,6-7,232,Active,2017,2023
Rafael Araujo,Raptors,55,Center,6-11,270,Inactive,2004,2006
Stacey Arceneaux,Hawks,,Forward,6-4,210,Inactive,1961,1961
Nate Archibald,Kings,1,Guard,6-1,150,Inactive,1970,1983
Robert Archibald,Raptors,34,Forward,6-11,250,Inactive,2002,2003
Ryan Arcidiacono,,,Guard,6-3,195,Inactive,2017,2022
Jim Ard,Celtics,34,Center,6-9,215,Inactive,1974,1977
Gilbert Arenas,Wizards,10,Guard,6-4,215,Inactive,2001,2011
Trevor Ariza,,,Forward,6-8,215,Inactive,2004,2021
Paul Arizin,Warriors,11,Forward,6-4,190,Inactive,1950,1961
Joe Arlauckas,Kings,53,Forward,6-9,230,Inactive,1987,1987
B.J. Armstrong,Bulls,11,Guard,6-2,185,Inactive,1989,1999
Brandon Armstrong,Nets,1,Guard,6-5,185,Inactive,2001,2003
Darrell Armstrong,Magic,10,Guard,6-1,180,Inactive,1994,2007
Hilton Armstrong,Hornets,57,Forward-Center,6-11,235,Inactive,2006,2013
Tate Armstrong,Bulls,14,Guard,6-3,175,Inactive,1977,1978
Jesse Arnelle,Pistons,15-18,Forward,6-5,220,Inactive,1955,1955
Bob Arnzen,Royals,21-30,Forward,6-5,205,Inactive,1970,1970
Carlos Arroyo,Magic,45,Guard,6-2,200,Inactive,2001,2010
Darrell Arthur,Nuggets,0,Forward,6-9,235,Inactive,2008,2017
John Arthurs,Bucks,12,Guard,6-4,185,Inactive,1969,1969
Jamel Artis,Magic,0,Guard,6-7,213,Inactive,2017,2017
Omer Asik,Pelicans,3,Center,7-0,255,Inactive,2010,2017
Vincent Askew,,,Guard,6-6,210,Inactive,1987,1997
Don Asmonga,Bullets,,Guard,6-2,185,Inactive,1953,1953
Richard Atha,Knicks,7,Guard,6-2,190,Inactive,1955,1957
Chucky Atkins,Pistons,17,Guard,5-11,185,Inactive,1999,2009
Chet Aubuchon,Falcons,,Guard,5-10,137,Inactive,1946,1946
Stacey Augmon,Hawks,2,Forward-Guard,6-8,213,Inactive,1991,2005
D.J. Augustin,Rockets,4,Guard,5-11,183,Active,2008,2023
James Augustine,Magic,40,Forward,6-10,235,Inactive,2006,2007
Ike Austin,,,Center,6-10,288,Inactive,1991,2001
John Austin,Bullets,34,Guard,6-0,170,Inactive,1966,1966
Anthony Avent,Bucks,30,Center,6-9,240,Inactive,1992,1999
William Averitt,Braves,15,Guard,6-2,170,Inactive,1976,1977
William Avery,Timberwolves,30,Guard,6-2,180,Inactive,1999,2002
Dennis Awtrey,Suns,20,Center,6-10,235,Inactive,1970,1981
Joel Ayayi,,,Guard,6-4,180,Inactive,2021,2021
Gustavo Ayon,,,,,,Inactive,2011,2016
Jeff Ayres,Spurs,19,Forward-Center,6-9,250,Inactive,2009,2015
Deandre Ayton,Suns,22,Center,7-0,250,Active,2018,2023
Kelenna Azubuike,Warriors,4,Guard,6-5,215,Inactive,2006,2011
Udoka Azubuike,Jazz,20,Center-Forward,6-11,270,Active,2020,2023
Chris Babb,Celtics,52,Guard,6-5,225,Inactive,2013,2014
Luke Babbitt,Pelicans,22,Forward,6-9,225,Inactive,2010,2017
Milos Babic,Cavaliers,0,Center,7-0,240,Inactive,1990,1991
Johnny Bach,Celtics,17,Forward,6-2,180,Inactive,1948,1948
Dwayne Bacon,Magic,8,Guard-Forward,6-6,221,Inactive,2017,2020
Jim Baechtold,Knicks,10,Forward,6-4,205,Inactive,1952,1956
Dalibor Bagaric,Bulls,11,Center,7-1,290,Inactive,2000,2002
John Bagley,Cavaliers,5,Guard,6-0,185,Inactive,1982,1993
Marvin Bagley III,Pistons,35,Forward,6-10,235,Active,2018,2023
Carl Bailey,Trail Blazers,21,Center,7-0,210,Inactive,1981,1981
Gus Bailey,Rockets,20,Guard,6-5,185,Inactive,1974,1979
James Bailey,SuperSonics,2,Forward,6-9,220,Inactive,1979,1987
Thurl Bailey,Jazz,41,Forward,6-11,247,Inactive,1983,1998
Toby Bailey,Suns,11,Guard,6-6,213,Inactive,1998,2002
Mark Baker,,,Guard,6-1,175,Inactive,1998,1998
Maurice Baker,,,Guard,6-2,200,Inactive,2002,2004
Norm Baker,Stags,,Guard,6-0,180,Inactive,1946,1946
Ron Baker,,,Guard,6-4,220,Inactive,2016,2018
Vin Baker,SuperSonics,34,Forward,6-11,240,Inactive,1993,2005
Wade Baldwin IV,,,Guard,6-4,200,Inactive,2016,2018
Patrick Baldwin Jr.,Warriors,7,Forward,6-9,220,Active,2022,2023
Renaldo Balkman,,,Forward,6-8,225,Inactive,2006,2011
Cedric Ball,Clippers,44,Forward,6-8,210,Inactive,1990,1990
LaMelo Ball,Hornets,1,Guard,6-7,180,Active,2020,2023
LiAngelo Ball,,,,,,Inactive,,
Lonzo Ball,Bulls,2,Guard,6-6,190,Active,2017,2023
Greg Ballard,Bullets,42,Forward,6-7,215,Inactive,1977,1988
Herschel Baltimore,Bombers,,Forward,6-4,195,Inactive,1946,1946
Paolo Banchero,Magic,5,Forward,6-10,250,Active,2022,2023
Desmond Bane,Grizzlies,22,Guard,6-5,215,Active,2020,2023
Gene Banks,Spurs,20,Forward,6-7,215,Inactive,1981,1986
Marcus Banks,Celtics,15,Guard,6-2,205,Inactive,2003,2010
Ken Bannister,Knicks,51,Forward,6-9,235,Inactive,1984,1990
Mike Bantom,Pacers,42,Forward,6-9,200,Inactive,1973,1981
Dalano Banton,Raptors,45,Forward,6-7,204,Active,2021,2023
Cat Barber,,,Guard,6-1,173,Inactive,2021,2021
John Barber,Hawks,25,Forward,6-6,210,Inactive,1956,1956
Stephen Bardo,Mavericks,25,Guard,6-5,190,Inactive,1991,1995
J.J. Barea,Mavericks,5,Guard,5-10,180,Inactive,2006,2019
Cliff Barker,Olympians,,Guard,6-2,185,Inactive,1949,1951
Tom Barker,Hawks,6,Center,6-11,225,Inactive,1976,1978
Charles Barkley,76ers,34,Forward,6-6,252,Inactive,1984,1999
Erick Barkley,Trail Blazers,1,Guard,6-1,185,Inactive,2000,2002
Don Barksdale,Celtics,17,Forward,6-6,200,Inactive,1951,1954
Dominick Barlow,Spurs,26,Forward,6-9,215,Active,2022,2023
Harrison Barnes,Kings,40,Forward,6-8,225,Active,2012,2023
Jim Barnes,Celtics,12,Center,6-8,210,Inactive,1964,1970
Marvin Barnes,Clippers,27,Forward,6-9,210,Inactive,1976,1979
Matt Barnes,Clippers,22,Forward,6-7,226,Inactive,2002,2016
Scottie Barnes,Raptors,4,Forward,6-8,225,Active,2021,2023
Jim Barnett,Warriors,33,Guard,6-4,170,Inactive,1966,1976
John Barnhill,Hawks,11,Guard,6-1,180,Inactive,1962,1968
Norton Barnhill,SuperSonics,10,Guard,6-4,205,Inactive,1976,1976
Leo Barnhorst,Olympians,8-15,Forward,6-4,190,Inactive,1949,1953
John Barr,Bombers,,Forward,6-3,205,Inactive,1946,1946
Mike Barr,Kings,34,Guard,6-3,180,Inactive,1976,1976
Ernie Barrett,,,,,,Inactive,1953,2008
RJ Barrett,Knicks,9,Forward-Guard,6-6,214,Active,2019,2023
Earl Barron,Heat,30,Forward-Center,7-0,250,Inactive,2005,2014
Dana Barros,Celtics,,Guard,5-11,165,Inactive,1989,2003
Brent Barry,SuperSonics,17,Guard,6-7,210,Inactive,1995,2008
Drew Barry,Hawks,10,Guard,6-5,191,Inactive,1997,1999
Jon Barry,,,Guard,6-5,210,Inactive,1992,2005
Rick Barry,Warriors,24,Forward,6-7,205,Inactive,1965,1979
Ed Bartels,Capitols,,Forward,6-6,195,Inactive,1949,1950
Vic Bartolome,Warriors,20,Center,7-0,230,Inactive,1971,1971
Will Barton,Raptors,1,Guard,6-5,181,Active,2012,2023
Eddie Basden,Bulls,13,Guard,6-5,215,Inactive,2005,2005
Brandon Bass,Celtics,30,Forward,6-8,250,Inactive,2005,2016
Paris Bass,,,Forward,6-8,200,Inactive,2021,2021
Tim Bassett,Nets,21,Forward,6-8,225,Inactive,1976,1979
Charles Bassey,Spurs,28,Center-Forward,6-9,230,Active,2021,2023
Maceo Baston,Pacers,9,Forward,6-10,230,Inactive,2002,2008
Mengke Bateer,,,Center,6-11,290,Inactive,2001,2003
Billyray Bates,Trail Blazers,35,Guard,6-4,210,Inactive,1979,1982
Tony Battie,Celtics,4,Center,6-11,240,Inactive,1997,2011
Shane Battier,Grizzlies,31,Forward,6-8,220,Inactive,2001,2013
Dave Batton,Bullets,45,Center,6-10,240,Inactive,1982,1983
Nicolas Batum,Clippers,33,Guard-Forward,6-8,230,Active,2008,2023
Johnny Baum,Bulls,14,Forward,6-5,200,Inactive,1969,1970
Frankie Baumholtz,Rebels,,Guard,5-10,170,Inactive,1946,1946
Lonny Baxter,Bulls,35,Forward,6-8,260,Inactive,2002,2005
Elgin Baylor,Lakers,22,Forward,6-5,225,Inactive,1958,1971
Aron Baynes,Pistons,46,Center-Forward,6-10,260,Inactive,2012,2020
Sergei Bazarevich,Hawks,5,Guard,6-2,168,Inactive,1994,1994
Kent Bazemore,Lakers,9,Guard-Forward,6-4,195,Inactive,2012,2021
Darius Bazley,Suns,55,Forward,6-9,216,Active,2019,2023
Ed Beach,Blackhawks,,Forward,6-3,200,Inactive,1950,1950
Bradley Beal,Suns,3,Guard,6-4,207,Active,2012,2023
Butch Beard,Knicks,9,Guard,6-3,185,Inactive,1969,1978
Ralph Beard,Olympians,,Guard,5-10,175,Inactive,1949,1950
Jerome Beasley,Heat,24,Forward,6-9,237,Inactive,2003,2003
Malik Beasley,Lakers,5,Guard,6-4,187,Active,2016,2023
Zelmo Beaty,Hawks,31,Center,6-9,225,Inactive,1962,1974
Rodrigue Beaubois,Mavericks,3,Guard,6-2,185,Inactive,2009,2012
MarJon Beauchamp,Bucks,0,Forward,6-7,199,Active,2021,2023
Byron Beck,Nuggets,40,Center,6-9,225,Inactive,1976,1976
Corey Beck,Hornets,15,Guard,6-3,200,Inactive,1995,1998
Ernie Beck,Warriors,12,Guard,6-4,190,Inactive,1953,1960
Moe Becker,Falcons,,Guard,6-1,185,Inactive,1946,1946
Ron Behagen,Kings,12,Forward,6-9,185,Inactive,1973,1979
Elmer Behnke,Hawks,,Center,6-7,210,Inactive,1951,1951
Dennis Bell,Knicks,46,Forward,6-5,185,Inactive,1973,1975
Jordan Bell,,,Forward,6-7,216,Inactive,2017,2021
Raja Bell,Suns,19,Guard,6-5,210,Inactive,2000,2011
Troy Bell,Grizzlies,3,Guard,6-1,180,Inactive,2003,2003
William Bell,Knicks,15,Guard,6-0,180,Inactive,1959,1960
Walt Bellamy,Hawks,8,Center,6-10,225,Inactive,1961,1974
DeAndre' Bembry,,,Guard-Forward,6-5,210,Inactive,2016,2021
Irv Bemoras,Hawks,26,Forward,6-3,185,Inactive,1953,1956
Leon Benbow,Bulls,5,Guard,6-4,185,Inactive,1974,1975
Dragan Bender,,,Forward,7-0,249,Inactive,2016,2019
Jonathan Bender,Pacers,9,Forward,7-0,230,Inactive,1999,2009
Jerrelle Benimon,,,,,,Inactive,2014,2014
Benoit Benjamin,,,Center,7-0,250,Inactive,1985,1999
Corey Benjamin,,,Guard,6-6,200,Inactive,1998,2002
Anthony Bennett,,,Forward,6-8,235,Inactive,2013,2016
Elmer Bennett,,,Guard,6-0,170,Inactive,1994,1996
Mario Bennett,Lakers,24,Center-Forward,6-9,235,Inactive,1995,2002
Tony Bennett,Hornets,25,Guard,6-0,175,Inactive,1992,1994
Winston Bennett,Cavaliers,30,Guard,6-7,210,Inactive,1989,1991
David Benoit,Jazz,21,Forward,6-8,220,Inactive,1991,2000
Keith Benson,,,Forward-Center,6-11,230,Inactive,2011,2011
Kent Benson,Pistons,54,Center,6-11,235,Inactive,1977,1987
Ben Bentil,,,Forward,6-9,235,Inactive,2016,2016
Gene Berce,Blackhawks,,Guard,5-11,175,Inactive,1949,1949
Gary Bergen,Knicks,18,Center,6-8,210,Inactive,1956,1956
Jules Bernard,,,,,,Inactive,,
Ricky Berry,Kings,34,Forward,6-8,205,Inactive,1988,1988
Walter Berry,Spurs,6,Forward,6-8,215,Inactive,1986,1988
Dairis Bertans,Pelicans,9,Guard,6-4,200,Inactive,2018,2018
Davis Bertans,Mavericks,44,Forward,6-10,225,Active,2016,2023
Travis Best,Pacers,6,Guard,5-11,182,Inactive,1995,2004
Patrick Beverley,Bulls,21,Guard,6-2,180,Active,2012,2023
Saddiq Bey,Hawks,41,Forward,6-7,215,Active,2020,2023
Tyler Bey,Mavericks,2,Forward,6-7,215,Inactive,2020,2020
Sim Bhullar,,,Center,7-5,360,Inactive,2014,2014
Henry Bibby,76ers,10-15,Guard,6-1,185,Inactive,1972,1980
Mike Bibby,Kings,20,Guard,6-2,195,Inactive,1998,2011
Ed Biedenbach,Suns,12,Guard,6-1,175,Inactive,1968,1968
Andris Biedrins,,,Center,7-0,250,Inactive,2004,2013
Don Bielke,Pistons,18,Center,6-7,240,Inactive,1955,1955
Bob Bigelow,Kings,32,Forward,6-7,215,Inactive,1975,1978
Chauncey Billups,Pistons,1,Guard,6-3,210,Inactive,1997,2013
Marcus Bingham Jr.,,,,,,Inactive,,
Joe Binion,Trail Blazers,50,Forward,6-8,235,Inactive,1986,1986
Khem Birch,Spurs,24,Center,6-8,233,Active,2017,2023
Jabari Bird,Celtics,26,Guard,6-6,198,Inactive,2017,2017
Jerry Bird,Knicks,7,Forward,6-6,210,Inactive,1958,1958
Larry Bird,Celtics,33,Forward,6-9,220,Inactive,1979,1991
Otis Birdsong,Nets,12,Guard,6-3,190,Inactive,1977,1988
Gale Bishop,Warriors,11,Forward,6-3,195,Inactive,1948,1948
Goga Bitadze,Magic,88,Center-Forward,6-11,250,Active,2019,2023
Bismack Biyombo,Suns,18,Center,6-8,255,Active,2011,2023
Nemanja Bjelica,Warriors,8,Forward,6-9,234,Inactive,2015,2021
Uwe Blab,Mavericks,33,Center,7-1,252,Inactive,1985,1989
Charlie Black,Pistons,21,Forward,6-4,200,Inactive,1948,1951
Norman Black,Pistons,,Guard,6-5,185,Inactive,1980,1980
Tarik Black,Lakers,28,Forward-Center,6-9,250,Inactive,2014,2017
Tom Black,SuperSonics,24,Center,6-10,220,Inactive,1970,1970
Alex Blackwell,Lakers,30,Forward,6-6,250,Inactive,1992,1992
Cory Blackwell,SuperSonics,30,Forward,6-6,210,Inactive,1984,1984
James Blackwell,Celtics,8,Guard,6-0,190,Inactive,1994,1994
Nate Blackwell,Spurs,3,Guard,6-4,170,Inactive,1987,1987
DeJuan Blair,,,Center-Forward,6-7,270,Inactive,2009,2015
Steve Blake,Trail Blazers,22,Guard,6-3,172,Inactive,2003,2015
Marqus Blakely,Rockets,15,Forward,6-5,225,Inactive,2010,2010
Antonio Blakeney,Bulls,9,Guard,6-4,192,Inactive,2017,2018
Will Blalock,Pistons,8,Guard,6-0,205,Inactive,2006,2006
George Blaney,Knicks,15,Guard,6-1,175,Inactive,1961,1961
Lance Blanks,Pistons,21,Guard,6-4,190,Inactive,1990,1992
Ricky Blanton,Bulls,17,Forward,6-7,215,Inactive,1992,1992
Andray Blatche,Wizards,0,Center-Forward,6-11,260,Inactive,2005,2013
Mookie Blaylock,,,Guard,,,Inactive,1989,2001
Eric Bledsoe,Trail Blazers,5,Guard,6-1,214,Inactive,2010,2021
Keljin Blevins,Trail Blazers,21,Guard,6-4,200,Inactive,2020,2021
Leon Blevins,Olympians,,Guard,6-2,160,Inactive,1950,1950
John Block,Rockets,35,Forward,6-10,207,Inactive,1966,1975
Mike Bloom,Bullets,11,Center,6-6,190,Inactive,1947,1948
Jaron Blossomgame,Cavaliers,4,Forward,6-8,220,Inactive,2018,2018
Corie Blount,Bulls,44,Forward-Center,6-10,242,Inactive,1993,2003
Mark Blount,Celtics,15,Center-Forward,7-0,250,Inactive,2000,2008
Vander Blue,,,Guard,6-5,200,Inactive,2013,2017
Trevon Bluiett,Pelicans,5,Guard-Forward,6-6,198,Inactive,2018,2018
Ray Blume,Bulls,22,Guard,6-4,185,Inactive,1981,1981
Nelson Bobb,Warriors,5,Guard,6-0,170,Inactive,1949,1952
Tony Bobbitt,,,Guard,6-4,190,Inactive,2004,2004
Arlen Bockhorn,Royals,11,Guard,6-4,200,Inactive,1958,1964
Buddy Boeheim,Pistons,27,Forward,6-6,205,Active,2022,2023
Keith Bogans,Magic,4,Guard-Forward,6-5,215,Inactive,2003,2013
Bojan Bogdanovic,Pistons,44,Forward,6-7,226,Active,2014,2023
Muggsy Bogues,,,Guard,,,Inactive,1987,2000
Andrew Bogut,Bucks,12,Center,7-0,260,Inactive,2005,2018
Etdrick Bohannon,,,Forward,,,Inactive,1997,2000
Bol Bol,Magic,10,Center-Forward,7-2,220,Active,2019,2023
Manute Bol,Bullets,1,Center,7-6,200,Inactive,1985,1994
Jonah Bolden,,,Forward,6-8,225,Inactive,2018,2019
Marques Bolden,,,Center,6-10,249,Inactive,2019,2020
Bill Bolger,Bullets,,Forward,6-5,205,Inactive,1953,1953
Leandro Bolmaro,,,Forward,6-6,200,Inactive,2021,2022
Doug Bolstorff,Pistons,8,Guard,6-4,195,Inactive,1957,1957
George H. Bon Salle,Packers,33,Forward,6-8,220,Inactive,1961,1961
Phil Bond,Rockets,30,Guard,6-2,175,Inactive,1977,1977
Walter Bond,Jazz,20,Guard,6-5,200,Inactive,1992,1994
Jordan Bone,,,Guard,6-2,180,Inactive,2019,2020
Dexter Boney,,,Guard,6-4,185,Inactive,1996,1996
Isaac Bonga,Raptors,17,Guard,6-8,180,Inactive,2018,2021
Ron Bonham,Celtics,21,Forward,6-4,192,Inactive,1964,1965
Anthony Bonner,Kings,33,Forward,6-8,230,Inactive,1990,2002
Matt Bonner,Spurs,15,Center-Forward,6-10,235,Inactive,2004,2015
Devin Booker,Suns,1,Guard,6-5,206,Active,2015,2023
Trevor Booker,Wizards,20,Forward,6-8,228,Inactive,2010,2017
Josh Boone,Nets,2,Forward-Center,6-10,240,Inactive,2006,2009
Ron Boone,Kings,24,Guard,6-2,200,Inactive,1976,1980
Calvin Booth,SuperSonics,52,Center,6-11,230,Inactive,1999,2008
Keith Booth,Bulls,22,Forward,6-6,226,Inactive,1997,1998
Bob Boozer,Royals,20,Forward,6-8,215,Inactive,1960,1970
Carlos Boozer,Jazz,5,Forward,6-9,258,Inactive,2002,2014
Jake Bornheimer,Warriors,15,Forward,6-5,200,Inactive,1948,1949
Lazaro Borrell,SuperSonics,11,Forward,6-8,220,Inactive,1999,1999
Costic Borsavage,Warriors,19,Center,6-8,220,Inactive,1950,1950
Vince Boryla,Knicks,12,Forward,6-5,210,Inactive,1949,1953
Chris Bosh,Heat,1,Forward,6-11,235,Inactive,2003,2016
Brandon Boston Jr.,Clippers,4,Guard,6-6,188,Active,2021,2023
Lawrence Boston,Bullets,4,Forward,6-8,225,Inactive,1979,1979
Tom Boswell,Celtics,33,Forward,6-8,220,Inactive,1975,1983
Chris Boucher,Raptors,25,Forward-Center,6-9,200,Active,2017,2023
Ruben Boumtje-Boumtje,Trail Blazers,44,Center,7-0,257,Inactive,2001,2003
Jamaree Bouyea,Heat,11,Guard,6-2,180,Active,2022,2023
Don Boven,Pistons,13,Forward,6-4,210,Inactive,1949,1952
Bruce Bowen,Spurs,12,Forward,6-7,200,Inactive,1996,2008
Ryan Bowen,,,Forward,6-9,218,Inactive,1999,2009
Brian Bowen II,,,Forward-Guard,6-6,190,Inactive,2019,2020
Sam Bowie,Nets,31,Center,7-1,235,Inactive,1984,1994
Ira Bowman,,,Forward,,,Inactive,1999,2001
Ky Bowman,Warriors,12,Guard,6-1,187,Inactive,2019,2019
Donnie Boyce,,,Guard,6-5,196,Inactive,1995,1996
Dennis Boyd,Pistons,11,Guard,6-1,175,Inactive,1978,1978
Fred Boyd,76ers,4,Guard,6-2,180,Inactive,1972,1977
Ken Boyd,Jazz,33,Forward,6-5,195,Inactive,1974,1974
Earl Boykins,Nuggets,6,Guard,5-5,133,Inactive,1998,2011
Harry Boykoff,Hawks,16,Center,6-9,225,Inactive,1949,1950
Winford Boynes,Nets,6,Guard,6-6,185,Inactive,1978,1980
Cedric Bozeman,,,Guard,6-6,207,Inactive,2006,2006
