display_first_last,team_name,jersey,position,height,weight,rosterstatus,from_year,to_year
Jason Miskiri,,,Guard,6-2,185,Inactive,1999,1999
Davion Mitchell,Kings,15,Guard,6-0,202,Active,2021,2023
Donovan Mitchell,Cavaliers,45,Guard,6-1,215,Active,2017,2023
Mike Mitchell,Spurs,34,Forward,6-7,215,Inactive,1978,1987
Murray Mitchell,Packers,,Center,6-6,,Inactive,1949,1949
Sam Mitchell,Timberwolves,42,Forward,6-7,215,Inactive,1989,2001
Tony Mitchell,,,Forward,6-6,216,Inactive,2013,2013
Tony Mitchell,,,,,,Inactive,2013,2016
Naz Mitrou-Long,Jazz,15,Guard,6-3,218,Inactive,2017,2019
Steve Mix,76ers,50,Forward,6-7,215,Inactive,1969,1982
Bill Mlkvy,Warriors,16,Forward,6-4,190,Inactive,1952,1952
Cuttino Mobley,Rockets,32,Guard,6-4,215,Inactive,1998,2008
Eric Mobley,,,Center,6-11,235,Inactive,1994,1996
Evan Mobley,Cavaliers,4,Center,6-11,215,Active,2021,2023
Isaiah Mobley,Cavaliers,15,Forward,6-8,238,Active,2022,2023
Larry Moffett,Rockets,41,Forward,6-8,210,Inactive,1977,1977
Leo Mogus,Warriors,18,Forward,6-4,190,Inactive,1946,1950
Jerome Moiso,,,Forward,6-10,260,Inactive,2000,2004
Paul Mokeski,Bucks,44,Center,7-0,250,Inactive,1979,1990
Adam Mokoka,Bulls,20,Guard,6-4,190,Inactive,2019,2020
Jack Molinas,Pistons,6,Forward,6-6,200,Inactive,1953,1953
Wayne Molis,Knicks,18,Forward,6-8,230,Inactive,1966,1966
Sidney Moncrief,Bucks,4,Guard,6-4,180,Inactive,1979,1990
Chima Moneke,,,Forward,6-5,223,Inactive,2022,2022
Eric Money,Pistons,14,Guard,6-0,170,Inactive,1974,1979
Malik Monk,Kings,0,Guard,6-3,200,Active,2017,2023
Greg Monroe,Timberwolves,15,Forward-Center,6-10,250,Inactive,2010,2021
Rodney Monroe,Hawks,12,Guard,6-3,185,Inactive,1991,1991
Howie Montgomery,Warriors,43,Forward,6-4,220,Inactive,1962,1962
Eric Montross,Pistons,0,Center,7-0,270,Inactive,1994,2002
Moses Moody,Warriors,4,Guard,6-5,211,Active,2021,2023
Jamario Moon,Raptors,9,Forward,6-8,205,Inactive,2007,2011
Xavier Moon,Clippers,15,Guard,6-0,165,Active,2021,2023
Jim Mooney,Warriors,7,Forward,6-5,215,Inactive,1952,1952
